word,ZipfSUBTLEX,fpmwSUBTLEX,word_len
Kanaille,2.44,0.2754228703338166,8
hinlege,2.67,0.4677351412871981,7
parfümiert,2.64,0.4365158322401661,10
Wäscheklammer,2.29,0.19498445997580455,13
zuflüstern,2.64,0.4365158322401661,10
jahrelanges,2.6,0.3981071705534973,11
aufwendig,2.5,0.31622776601683794,9
Maulwurf,3.68,4.786300923226385,8
Vollbesitz,2.07,0.11748975549395291,10
niedergezwungen,2.29,0.19498445997580455,15
