item_nr,word,pseudoword,word_ZipfSUBTLEX,word_fpmwSUBTLEX,word_len,pseudoword_statistics_overlap_ratio,pseudoword_statistics_plain_length,pseudoword_statistics_lexicality,pseudoword_statistics_ned1,pseudoword_statistics_old20,pseudoword_statistics_overlap,pseudoword_statistics_transition_frequencies_0,pseudoword_statistics_transition_frequencies_1,pseudoword_statistics_transition_frequencies_2,pseudoword_statistics_transition_frequencies_3,pseudoword_statistics_transition_frequencies_4,pseudoword_statistics_transition_frequencies_5,pseudoword_statistics_transition_frequencies_6,pseudoword_difference_statistics_plain_length,pseudoword_difference_statistics_ned1,pseudoword_difference_statistics_old20,pseudoword_difference_statistics_transition_frequencies_0,pseudoword_difference_statistics_transition_frequencies_1,pseudoword_difference_statistics_transition_frequencies_2,pseudoword_difference_statistics_transition_frequencies_3,pseudoword_difference_statistics_transition_frequencies_4,pseudoword_difference_statistics_transition_frequencies_5,pseudoword_difference_statistics_transition_frequencies_6
52,absichtlichen,anhangslichen,2.2,0.15848931924611143,13,2/3,11,N,0,3.6,8,17115,5537,2463,287,949,22,3,5260,13123,3535,3671,21646,22249,0,-4,1.35,"0,0,495,122,-349,-27,-89,0,0,0,0,0,0"
53,addierst,aifierst,2.29,0.19498445997580455,8,2/3,6,N,1,1.95,4,5655,1798,79,2,85,260,683,0,-2,0.19999999999999996,0,0,24,-28,-11,0,0
54,allwissend,artkossend,2.74,0.5495408738576248,10,2/3,8,N,0,3.95,6,22605,7379,86,43,599,248,1709,4516,4228,4375,0,-1,1.1500000000000004,0,0,-43,"18,-34,-49,0,0,0,0"
55,angegriffen,angeträrken,4.56,36.3078054770101,11,2/3,9,N,0,3.55,8,17115,5537,2463,958,6317,12668,343,117,156,240,1485,21646,22249,0,-2,1.6999999999999995,"0,0,0,0,0,0,27,51,13,25,113,0,0"
56,angezogen,abbekägen,4.34,21.87761623949552,9,2/3,7,N,1,2.75,8,17115,5537,1968,151,5176,12668,977,263,1261,8676,9611,21646,22249,0,-3,1.05,"0,0,-495,-807,-1141,0,63,193,-1397,0,0,0,0"
57,ansehen,abbeßen,4.88,75.85775750291836,7,2/3,5,N,1,1.95,6,22605,7379,3888,239,2035,10725,1262,1238,18662,19387,0,-9,0.55,0,0,373,"-273,465,0,-185,-28,0,0"
58,antaten,abhiten,2.92,0.8317637711026709,7,2/3,5,N,0,2,6,22605,7379,3888,248,181,7174,4769,21421,18662,19387,0,-10,0.6000000000000001,0,0,373,"-362,-525,1312,0,0,0,0"
59,armes,alnes,4.04,10.964781961431852,5,2/3,3,N,2,1.9,4,5655,1798,457,17,1136,1415,1998,0,-7,0.45,0,0,-86,-219,-30,0,0
60,auf,auz,6.75,5623.413251903491,3,2/3,1,N,4,1.8,2,90,5,2,6,0,-3,0.25,0,0,-3,-21,NA,NA,NA,NA,NA,NA
61,aufeinanderprallen,auseinanterchinnen,2.07,0.11748975549395292,18,2/3,16,N,0,5.5,12,3346,422,178,119,314,309,475,752,333,214,371,952,7,8,34,27,"629,4012,4215,0,-4,3.15,0,0,15,26,0,0,0,0,0,-189,-145,0,-11,-2,-71,-189,158,0,0"
