item_nr,condition,text,corr_ans,is_practice_trial,snd,ZipfSUBTLEX,word_len
78,pseudoword,Durchszelten,lalt,FALSE,0.5671815633773803,NA,12
79,word,einfachsten,ralt,FALSE,0.7144235491752624,3.45,11
79,pseudoword,einpellsten,lalt,FALSE,0.5284888625144959,NA,11
80,word,eintreffe,ralt,FALSE,0.6269917011260986,2.44,9
80,pseudoword,einspipfe,lalt,FALSE,0.5144548416137695,NA,9
81,word,endgültig,ralt,FALSE,0.7169647455215454,3.99,9
81,pseudoword,emptöltig,lalt,FALSE,0.45922123789787295,NA,9
82,word,entgegenkommende,ralt,FALSE,0.6470507383346558,1.9,16
82,pseudoword,itzgegerfonwende,lalt,FALSE,0.5084249138832092,NA,16
83,word,entschärft,ralt,FALSE,0.7005514025688171,3.34,10
83,pseudoword,entschühmt,lalt,FALSE,0.5246766924858093,NA,10
84,word,ergiebigen,ralt,FALSE,0.6496997356414795,1.9,10
84,pseudoword,erdaukegen,lalt,FALSE,0.4964679002761841,NA,10
85,word,erschrickt,ralt,FALSE,0.6484027147293091,3.34,10
85,pseudoword,erschwillt,lalt,FALSE,0.6166417121887207,NA,10
86,word,erziehst,ralt,FALSE,0.6755328893661499,2.2,8
86,pseudoword,erweihst,lalt,FALSE,0.5123105406761169,NA,8
87,word,ferneren,ralt,FALSE,0.6648234009742737,1.9,8
87,pseudoword,Cermelen,lalt,FALSE,0.5477453827857971,NA,8
88,word,festzumachen,ralt,FALSE,0.6555073261260986,2.5,12
88,pseudoword,Hahnzusachen,lalt,FALSE,0.4805571734905243,NA,12
89,word,fickst,ralt,FALSE,0.6755501985549927,3.45,6
89,pseudoword,feckst,lalt,FALSE,0.5333251118659973,NA,6
90,word,fixiert,ralt,FALSE,0.6969619154930115,3.5,7
90,pseudoword,riviert,lalt,FALSE,0.559039729833603,NA,7
91,word,fortbleiben,ralt,FALSE,0.5190348625183105,2.29,11
91,pseudoword,lollspeiben,lalt,FALSE,0.4845084547996521,NA,11
92,word,füttere,ralt,FALSE,0.6971003651618958,3.41,7
92,pseudoword,räntere,lalt,FALSE,0.6225292921066284,NA,7
93,word,garstiges,ralt,FALSE,0.7685399532318116,2.44,9
93,pseudoword,wafspiges,lalt,FALSE,0.6185039043426513,NA,9
94,word,gefallen,ralt,FALSE,0.7127611517906189,5.3,8
94,pseudoword,werillen,lalt,FALSE,0.4399824678897858,NA,8
95,word,gesprochen,ralt,FALSE,0.7167930245399475,5,10
95,pseudoword,peschüchen,lalt,FALSE,0.4850651681423187,NA,10
96,word,gleichwertig,ralt,FALSE,0.6945222973823547,2.71,12
96,pseudoword,Klauchrertig,lalt,FALSE,0.5380428433418274,NA,12
97,word,haltmachen,ralt,FALSE,0.59368616938591,2.29,10
97,pseudoword,höfflachen,lalt,FALSE,0.5353490114212036,NA,10
98,word,hinlege,ralt,FALSE,0.6255987405776977,2.67,7
98,pseudoword,horfege,lalt,FALSE,0.4307307362556458,NA,7
99,word,hört,ralt,FALSE,0.7143473505973816,5.42,4
99,pseudoword,hößt,lalt,FALSE,0.5549952983856201,NA,4
100,word,interpretiert,ralt,FALSE,0.7429245591163636,3.29,13
100,pseudoword,indergnetauts,lalt,FALSE,0.4410170316696167,NA,13
101,word,jahrelanges,ralt,FALSE,0.7446261405944824,2.6,11
